variable_id,variable,pooling,rank,feature_id,train_effect,val_effect,test_effect,val_same_direction,test_same_direction,p_unadjusted,p_maxT,train_fwer_significant,holdout_direction_survival,full_survival,target_train_abs_effect,max_other_variable_abs_effect,mean_other_variable_abs_effect,target_rank_among_40_variables,specificity_ratio_vs_max_other,specificity_margin,specificity_z_vs_other_variables,target_share_of_feature_abs_effect,trainval_candidate,test_descriptive_same_direction
1,Subject expression / pro-drop,mean,1,8431,0.8691208362579346,0.10111186653375626,-0.24833622574806213,True,False,0.0004997501249375312,0.0004997501249375312,True,False,False,0.8691208362579346,0.7564257383346558,0.22195054366229436,1,1.1489836902845056,0.11269509792327881,3.4543895025960825,0.09124444238934241,True,False
1,Subject expression / pro-drop,mean,2,8041,0.863140881061554,0.9623317718505859,0.9698030352592468,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.863140881061554,0.9372270703315735,0.4384644117254095,3,0.9209517185159737,-0.07408618927001953,1.5916623924931113,0.04805036615716194,True,True
1,Subject expression / pro-drop,mean,3,10169,0.8559886813163757,0.9625152349472046,0.9670958518981934,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.8559886813163757,0.9470279812812805,0.46952890556974286,4,0.9038684159661964,-0.09103929996490479,1.421888501431757,0.04465806709513273,True,True
1,Subject expression / pro-drop,mean,4,587,0.8547830581665039,0.9587790369987488,0.9689375758171082,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.8547830581665039,0.9570698142051697,0.4760591460344119,5,0.8931250839588821,-0.10228675603866577,1.372807067759032,0.044013135669283485,True,True
1,Subject expression / pro-drop,mean,5,1175,0.8547700047492981,0.9586631655693054,0.9680838584899902,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.8547700047492981,0.9545708894729614,0.4678811868413901,4,0.8954494780594394,-0.09980088472366333,1.3931100891844372,0.04474735138010761,True,True
1,Subject expression / pro-drop,mean,6,15659,0.8508999347686768,0.9474011659622192,0.9491647481918335,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.8508999347686768,0.9243921637535095,0.40686024215597755,4,0.9204966984072903,-0.07349222898483276,1.7085046574330367,0.050895864531852616,True,True
1,Subject expression / pro-drop,mean,7,3024,0.8477429747581482,0.9618109464645386,0.9682565331459045,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.8477429747581482,0.9471272230148315,0.4684048573940228,6,0.8950676890689193,-0.09938424825668335,1.3932739865017063,0.04434838415361499,True,True
1,Subject expression / pro-drop,mean,8,2703,0.8464353084564209,0.9644036889076233,0.9681549072265625,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.8464353084564209,0.9566835165023804,0.47863083724410105,6,0.8847600004136946,-0.11024820804595947,1.3761450603376608,0.043377935826762894,True,True
1,Subject expression / pro-drop,mean,9,2389,0.8462267518043518,0.9596312046051025,0.9669816493988037,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.8462267518043518,0.956449031829834,0.47294379622699356,6,0.8847588566067028,-0.11022228002548218,1.3386485370664205,0.04386632238100892,True,True
1,Subject expression / pro-drop,mean,10,14916,0.8452153205871582,0.9601441621780396,0.9677879214286804,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.8452153205871582,0.9504703879356384,0.45962143768198216,6,0.8892600246315011,-0.10525506734848022,1.3983789667912117,0.04502903542474969,True,True
1,Subject expression / pro-drop,mean,11,13175,0.8450655341148376,0.9583470225334167,0.9686412215232849,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.8450655341148376,0.938629686832428,0.4631399492231699,6,0.9003183534143916,-0.09356415271759033,1.388277856767825,0.044694670442135855,True,True
1,Subject expression / pro-drop,mean,12,604,0.8442023396492004,0.9600869417190552,0.9680061936378479,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.8442023396492004,0.953995943069458,0.4725045327288218,5,0.8849118759698291,-0.10979360342025757,1.3736077203843595,0.04380487935632149,True,True
1,Subject expression / pro-drop,mean,13,9375,0.8439128994941711,0.9630271196365356,0.9682308435440063,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.8439128994941711,0.9529269933700562,0.46444456740163076,5,0.8856007914201767,-0.10901409387588501,1.369513995431766,0.044516628399375105,True,True
1,Subject expression / pro-drop,mean,14,981,0.8437371253967285,0.9581711292266846,0.970833957195282,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.8437371253967285,0.9501184225082397,0.4667830619578942,5,0.8880336444475282,-0.10638129711151123,1.415171749148101,0.044294670100322314,True,True
1,Subject expression / pro-drop,mean,15,5694,0.843275249004364,0.96160888671875,0.9684674143791199,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.843275249004364,0.9524005055427551,0.45864285399707466,6,0.8854208330389297,-0.10912525653839111,1.3765888502107828,0.0450218711401362,True,True
1,Subject expression / pro-drop,mean,16,8792,0.842745304107666,0.9608463048934937,0.9704609513282776,True,True,0.0004997501249375312,0.0004997501249375312,True,True,True,0.842745304107666,0.9528601169586182,0.4729059386329773,6,0.8844375885912598,-0.11011481285095215,1.3698935950204048,0.04369708303071265,True,True
