variable_id,variable,pooling,rank,feature_id,train_effect,val_effect,test_effect,train_cohen_dz,val_cohen_dz,test_cohen_dz,train_nonzero_fraction,val_nonzero_fraction,test_nonzero_fraction,train_direction_fraction,val_direction_fraction,test_direction_fraction,val_same_direction,test_same_direction
1,Subject expression / pro-drop,mean,1,8431,0.8691208362579346,0.10111186653375626,-0.24833622574806213,1.7550227642059326,0.10061125457286835,-0.25379061698913574,1.0,1.0,1.0,0.9625,0.56,0.64,True,False
1,Subject expression / pro-drop,final,1,4441,-0.7896255254745483,-0.9286953210830688,-0.9507593512535095,-1.285287618637085,-2.4791085720062256,-3.036821126937866,1.0,1.0,1.0,0.915,1.0,1.0,True,True
2,basic_constituent_order,mean,1,13034,0.8540453910827637,0.8213565349578857,0.0812341496348381,1.6397154331207275,1.4254554510116577,0.0806843563914299,0.8275,1.0,0.8,0.8125,0.84,0.4,True,True
2,basic_constituent_order,final,1,12178,0.7508994340896606,0.7663952112197876,0.3681265711784363,1.1355870962142944,1.1810845136642456,0.39195114374160767,1.0,1.0,1.0,0.905,0.9,0.6,True,True
3,nominal_modifier_order,mean,1,8006,0.6698550581932068,0.2563788890838623,0.17448927462100983,0.9010428786277771,0.26257848739624023,0.17542678117752075,0.6875,0.12,0.52,0.62,0.12,0.32,True,True
3,nominal_modifier_order,final,1,13304,0.4804600775241852,-0.605016827583313,0.10243310779333115,0.5471497178077698,-0.7522312998771667,0.10193981230258942,1.0,1.0,1.0,0.7,0.8,0.54,False,True
4,case_marking,mean,1,3290,-0.7586350440979004,-0.5690845847129822,-0.8547938466072083,-1.1629587411880493,-0.6851264238357544,-1.6305499076843262,0.7925,1.0,0.94,0.7675,0.86,0.94,True,True
4,case_marking,final,1,6102,0.545896589756012,0.06415703892707825,0.43638578057289124,0.6507278680801392,0.06364334374666214,0.48012807965278625,1.0,1.0,1.0,0.78,0.54,0.72,True,True
5,morphosyntactic_alignment,mean,1,7247,-0.6954706907272339,-0.6925016641616821,-0.6649801731109619,-0.9666634798049927,-0.9502718448638916,-0.8814180493354797,1.0,1.0,1.0,0.8625,0.84,0.84,True,True
5,morphosyntactic_alignment,final,1,164,0.7035923600196838,0.7398418188095093,0.5844929814338684,0.9888938665390015,1.0886247158050537,0.7131123542785645,1.0,1.0,1.0,0.88,0.88,0.76,True,True
6,transitivity_valency,mean,1,5382,0.9389743804931641,0.8023737668991089,0.07523857802152634,2.7262675762176514,1.330898642539978,0.07469410449266434,1.0,1.0,1.0,0.9975,0.94,0.56,True,True
6,transitivity_valency,final,1,164,0.9021463394165039,0.908086895942688,0.9524035453796387,2.088446617126465,2.1466054916381836,3.0928702354431152,1.0,1.0,1.0,1.0,0.96,0.98,True,True
